Component,Source ,Component Description,URL
"Designating the Board of Peace as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","Designating the Board of Peace as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",,https://www.federalregister.gov/documents/2026/01/22/2026-01271/designating-the-board-of-peace-as-a-public-international-organization-entitled-to-enjoy-certain
"Religious Freedom Day, 2026","Religious Freedom Day, 2026",,https://www.federalregister.gov/documents/2026/01/22/2026-01270/religious-freedom-day-2026
"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","This rule establishes, amends, suspends, or removes Standard Instrument Approach Procedures (SIAPS) and associated Takeoff Minimums and Obstacle Departure procedures (ODPs) for operations at certain airports. These regulatory actions are needed because of the adoption of new or revised criteria, or because of changes occurring in the National Airspace System, such as the commissioning of new navigational facilities, adding new obstacles, or changing air traffic requirements. These changes are designed to provide safe and efficient use of the navigable airspace and to promote safe flight operations under instrument flight rules at the affected airports.",https://www.federalregister.gov/documents/2026/01/22/2026-01215/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
Airworthiness Directives; Honda Aircraft Company LLC Airplanes,Airworthiness Directives; Honda Aircraft Company LLC Airplanes,"The FAA proposes to adopt a new airworthiness directive (AD) for certain Honda Aircraft Company LLC (Honda) Model HA-420 airplanes. This proposed AD was prompted by a report of tool damage to multiple locations on the interior fuselage skin fiber and the omission of certain service material from the Airworthiness Limitations Section (ALS) of the maintenance manual. This proposed AD would require incorporating certain material into the ALS of the existing maintenance or inspection program, as applicable. The FAA is proposing this AD to address the unsafe condition on these products.",https://www.federalregister.gov/documents/2026/01/22/2026-01198/airworthiness-directives-honda-aircraft-company-llc-airplanes
Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod by Vessels Using Pot Gear in the Central Regulatory Area of the Gulf of Alaska,Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod by Vessels Using Pot Gear in the Central Regulatory Area of the Gulf of Alaska,NMFS is prohibiting directed fishing for Pacific cod by vessels using pot gear in the Central Regulatory Area of the Gulf of Alaska (GOA). This action is necessary to prevent exceeding the A season allowance of the 2026 total allowable catch (TAC) of Pacific cod allocated to vessels using pot gear in the Central Regulatory Area of the GOA.,https://www.federalregister.gov/documents/2026/01/22/2026-01197/fisheries-of-the-exclusive-economic-zone-off-alaska-pacific-cod-by-vessels-using-pot-gear-in-the
Agency Information Collection Activities: Proposed Collection; Comment Request,Agency Information Collection Activities: Proposed Collection; Comment Request,"The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information (including each proposed extension or reinstatement of an existing collection of information) and to allow 60 days for public comment on the proposed action. Interested persons are invited to send comments regarding our burden estimates or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.",https://www.federalregister.gov/documents/2026/01/22/2026-01196/agency-information-collection-activities-proposed-collection-comment-request
Notice of Intent To Extend and Revise a Previously Approved Information Collection,Notice of Intent To Extend and Revise a Previously Approved Information Collection,"In accordance with the Paperwork Reduction Act of 1995 and Office of Management and Budget (OMB) regulations, this notice announces the National Institute of Food and Agriculture's (NIFA) intention to extend and revise a previously approved information collection, entitled Expanded Food and Nutrition Education Program (EFNEP).",https://www.federalregister.gov/documents/2026/01/22/2026-01195/notice-of-intent-to-extend-and-revise-a-previously-approved-information-collection
"Importer of Controlled Substances Application: Siegfried USA, LLC","Importer of Controlled Substances Application: Siegfried USA, LLC","Siegfried USA, LLC has applied to be registered as an importer of basic class(es) of controlled substances(s). Refer to SUPPLEMENTARY INFORMATION listed below for further drug information.",https://www.federalregister.gov/documents/2026/01/22/2026-01194/importer-of-controlled-substances-application-siegfried-usa-llc
L-Lysine From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination With Final Antidumping Duty Determination,L-Lysine From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination With Final Antidumping Duty Determination,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of L-lysine (lysine) from the People's Republic of China (China). The period of investigation is January 1, 2024, through December 31, 2024. Interested parties are invited to comment on this preliminary determination.",https://www.federalregister.gov/documents/2026/01/22/2026-01193/l-lysine-from-the-peoples-republic-of-china-preliminary-affirmative-countervailing-duty
Sunshine Act Meetings,Sunshine Act Meetings,,https://www.federalregister.gov/documents/2026/01/22/2026-01192/sunshine-act-meetings
"Fiberglass Door Panels From the People's Republic of China: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination and Extension of Provisional Measures","Fiberglass Door Panels From the People's Republic of China: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination and Extension of Provisional Measures","The U.S. Department of Commerce (Commerce) preliminarily determines that fiberglass door panels from the People's Republic of China (China) are being, or are likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is July 1, 2024, through December 31, 2024. Interested parties are invited to comment on this preliminary determination.",https://www.federalregister.gov/documents/2026/01/22/2026-01191/fiberglass-door-panels-from-the-peoples-republic-of-china-preliminary-affirmative-determination-of
